Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
171,Entry long,2026-02-19 07:30,S2_LE,4981.281,2,9962.562,398.5,4.00,444.7,4.46,-42.54,-0.43,8941.07,89.41
172,Exit long,2026-02-24 09:00,S2_SL,5155.801,1.9,9894.9739,-98.95,-1.00,79.78,0.81,-98.95,-1.00,8842.12,88.42
172,Entry long,2026-02-24 02:00,S2_LE,5207.881,1.9,9894.9739,-98.95,-1.00,79.78,0.81,-98.95,-1.00,8842.12,88.42
173,Exit long,2026-02-24 21:30,S2_SL,5121.715,1.9,9829.5569,-98.3,-1.00,19.76,0.20,-98.3,-1.00,8743.82,87.44
173,Entry long,2026-02-24 15:00,S2_LE,5173.451,1.9,9829.5569,-98.3,-1.00,19.76,0.20,-98.3,-1.00,8743.82,87.44
174,Exit long,2026-03-02 08:00,S2_LX_TP2,5375.53,1.9,9820.682,392.83,4.00,426.8,4.35,-74.64,-0.76,9136.65,91.37
174,Entry long,2026-02-25 19:30,S2_LE,5168.78,1.9,9820.682,392.83,4.00,426.8,4.35,-74.64,-0.76,9136.65,91.37
175,Exit long,2026-03-02 22:00,S2_SL,5309.805,1.8,9654.1938,-96.54,-1.00,100.58,1.04,-96.54,-1.00,9040.1,90.40
175,Entry long,2026-03-02 12:30,S2_LE,5363.441,1.8,9654.1938,-96.54,-1.00,100.58,1.04,-96.54,-1.00,9040.1,90.40
176,Exit long,2026-03-03 17:00,S2_SL,5256.355,1.8,9557.0118,-95.57,-1.00,126.75,1.33,-95.57,-1.00,8944.53,89.45
176,Entry long,2026-03-03 00:30,S2_LE,5309.451,1.8,9557.0118,-95.57,-1.00,126.75,1.33,-95.57,-1.00,8944.53,89.45
177,Exit long,2026-03-05 02:00,S2_SL,5119.499,1.9,9825.3047,-98.26,-1.00,47.57,0.48,-98.26,-1.00,8846.28,88.46
177,Entry long,2026-03-04 21:00,S2_LE,5171.213,1.9,9825.3047,-98.26,-1.00,47.57,0.48,-98.26,-1.00,8846.28,88.46
178,Exit long,2026-03-05 21:00,S2_SL,5104.479,1.9,9796.4779,-97.97,-1.00,29.6,0.30,-97.97,-1.00,8748.31,87.48
178,Entry long,2026-03-05 18:30,S2_LE,5156.041,1.9,9796.4779,-97.97,-1.00,29.6,0.30,-97.97,-1.00,8748.31,87.48
179,Exit long,2026-03-09 08:00,S2_SL,5035.892,1.9,9664.8459,-96.65,-1.00,211.1,2.18,-96.65,-1.00,8651.66,86.52
179,Entry long,2026-03-06 07:00,S2_LE,5086.761,1.9,9664.8459,-96.65,-1.00,211.1,2.18,-96.65,-1.00,8651.66,86.52
180,Exit long,2026-03-10 21:30,S2_LX_TP1,5201.546,1.9,9689.1564,193.78,2.00,245.47,2.53,-20.78,-0.21,8845.44,88.45
180,Entry long,2026-03-09 23:30,S2_LE,5099.556,1.9,9689.1564,193.78,2.00,245.47,2.53,-20.78,-0.21,8845.44,88.45
181,Exit long,2026-03-12 06:30,S2_SL,5146.633,1.9,9877.3799,-98.78,-1.00,46.74,0.47,-98.78,-1.00,8746.66,87.47
181,Entry long,2026-03-11 04:00,S2_LE,5198.621,1.9,9877.3799,-98.78,-1.00,46.74,0.47,-98.78,-1.00,8746.66,87.47
182,Exit long,2026-03-13 01:30,S2_SL,5105.321,1.9,9798.0929,-97.98,-1.00,66.27,0.68,-97.98,-1.00,8648.68,86.49
182,Entry long,2026-03-12 14:30,S2_LE,5156.891,1.9,9798.0929,-97.98,-1.00,66.27,0.68,-97.98,-1.00,8648.68,86.49
183,Exit long,2026-03-13 15:00,S2_SL,5072.73,1.9,9735.5449,-97.36,-1.00,8.47,0.09,-97.36,-1.00,8551.32,85.51
183,Entry long,2026-03-13 10:00,S2_LE,5123.971,1.9,9735.5449,-97.36,-1.00,8.47,0.09,-97.36,-1.00,8551.32,85.51
184,Exit long,2026-03-16 07:00,S2_SL,4990.104,1.9,9576.9709,-95.77,-1.00,44.47,0.46,-95.77,-1.00,8455.55,84.56
184,Entry long,2026-03-14 00:30,S2_LE,5040.511,1.9,9576.9709,-95.77,-1.00,44.47,0.46,-95.77,-1.00,8455.55,84.56
185,Exit long,2026-03-18 19:00,S2_SL,4947.282,2,9994.512,-99.95,-1.00,94.55,0.95,-99.95,-1.00,8355.6,83.56
185,Entry long,2026-03-16 08:00,S2_LE,4997.256,2,9994.512,-99.95,-1.00,94.55,0.95,-99.95,-1.00,8355.6,83.56
186,Exit long,2026-03-19 19:30,S2_SL,4662.129,2.1,9889.3683,-98.9,-1.00,34.81,0.35,-98.9,-1.00,8256.7,82.57
186,Entry long,2026-03-19 17:00,S2_LE,4709.223,2.1,9889.3683,-98.9,-1.00,34.81,0.35,-98.9,-1.00,8256.7,82.57
187,Exit long,2026-03-23 15:30,S2_SL,4135.775,2.3,9706.9913,-194.71,-2.01,3.95,0.04,-280.96,-2.89,8061.99,80.62
187,Entry long,2026-03-23 15:00,S2_LE,4220.431,2.3,9706.9913,-194.71,-2.01,3.95,0.04,-280.96,-2.89,8061.99,80.62
188,Exit long,2026-03-25 20:30,S2_SL,4526.052,2.1,9600.7191,-96.01,-1.00,29.27,0.30,-96.01,-1.00,7965.98,79.66
188,Entry long,2026-03-25 13:00,S2_LE,4571.771,2.1,9600.7191,-96.01,-1.00,29.27,0.30,-96.01,-1.00,7965.98,79.66
189,Exit long,2026-03-26 03:00,S2_SL,4514.984,2.1,9577.2411,-95.77,-1.00,17.57,0.18,-95.77,-1.00,7870.21,78.70
189,Entry long,2026-03-25 23:30,S2_LE,4560.591,2.1,9577.2411,-95.77,-1.00,17.57,0.18,-95.77,-1.00,7870.21,78.70
