Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
142,Entry long,2026-03-09 09:30,S2_Rev,5071.691,1.9,9636.2129,192.72,2.00,218.98,2.27,-32.02,-0.33,6240.84,62.41
143,Exit long,2026-03-13 22:30,LX_SL,5041.109,1.9,9674.8589,-96.75,-1.00,69.16,0.71,-96.75,-1.00,6144.09,61.44
143,Entry long,2026-03-13 06:30,S2_Rev,5092.031,1.9,9674.8589,-96.75,-1.00,69.16,0.71,-96.75,-1.00,6144.09,61.44
144,Exit long,2026-03-14 03:30,LX_SL,5012.063,1.9,9619.1129,-96.19,-1.00,10.62,0.11,-96.19,-1.00,6047.9,60.48
144,Entry long,2026-03-13 23:30,S2_Rev,5062.691,1.9,9619.1129,-96.19,-1.00,10.62,0.11,-96.19,-1.00,6047.9,60.48
145,Exit long,2026-03-18 19:00,LX_SL,4947.282,2,9994.512,-99.95,-1.00,94.55,0.95,-99.95,-1.00,5947.95,59.48
145,Entry long,2026-03-16 08:00,S2_Rev,4997.256,2,9994.512,-99.95,-1.00,94.55,0.95,-99.95,-1.00,5947.95,59.48
146,Exit long,2026-03-19 04:00,LX_SL,4833.556,2,9764.762,-97.65,-1.00,33.89,0.35,-97.65,-1.00,5850.3,58.50
146,Entry long,2026-03-19 00:30,S2_Rev,4882.381,2,9764.762,-97.65,-1.00,33.89,0.35,-97.65,-1.00,5850.3,58.50
147,Exit long,2026-03-19 14:30,LX_SL,4786.221,2,9669.136,-96.69,-1.00,65.24,0.67,-96.69,-1.00,5753.61,57.54
147,Entry long,2026-03-19 07:00,S2_Rev,4834.568,2,9669.136,-96.69,-1.00,65.24,0.67,-96.69,-1.00,5753.61,57.54
148,Exit long,2026-03-20 11:00,LX_TP1,4694.534,2.1,9665.2206,193.3,2.00,212.28,2.20,-13.97,-0.14,5946.91,59.47
148,Entry long,2026-03-20 01:30,S2_Rev,4602.486,2.1,9665.2206,193.3,2.00,212.28,2.20,-13.97,-0.14,5946.91,59.47
