Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
21,Entry long,2019-07-23 10:00,S2_Rev,1419.191,7,9934.337,-99.35,-1.00,106.11,1.07,-99.35,-1.00,1135.39,11.35
22,Exit long,2019-08-02 02:30,LX_TP1,1438.582,7,9872.632,197.44,2.00,215,2.18,-69.97,-0.71,1332.83,13.33
22,Entry long,2019-08-01 09:30,S2_Rev,1410.376,7,9872.632,197.44,2.00,215,2.18,-69.97,-0.71,1332.83,13.33
23,Exit long,2019-08-13 20:30,LX_TP1,1519.8,6.7,9983.0067,199.65,2.00,301.69,3.02,-0.68,-0.01,1532.48,15.32
23,Entry long,2019-08-12 16:00,S2_Rev,1490.001,6.7,9983.0067,199.65,2.00,301.69,3.02,-0.68,-0.01,1532.48,15.32
24,Exit long,2019-08-16 08:00,LX_TP1,1525.501,6.6,9870.9006,197.41,2.00,208.36,2.11,-25.68,-0.26,1729.89,17.30
24,Entry long,2019-08-13 22:30,S2_Rev,1495.591,6.6,9870.9006,197.41,2.00,208.36,2.11,-25.68,-0.26,1729.89,17.30
25,Exit long,2019-08-19 19:30,LX_SL,1494.294,6.6,9961.9674,-99.63,-1.00,52.74,0.53,-99.63,-1.00,1630.26,16.30
25,Entry long,2019-08-16 18:00,S2_Rev,1509.389,6.6,9961.9674,-99.63,-1.00,52.74,0.53,-99.63,-1.00,1630.26,16.30
26,Exit long,2019-08-26 15:00,LX_TP1,1528.467,6.6,9890.0934,197.79,2.00,375.08,3.79,-41.57,-0.42,1828.05,18.28
26,Entry long,2019-08-19 20:30,S2_Rev,1498.499,6.6,9890.0934,197.79,2.00,375.08,3.79,-41.57,-0.42,1828.05,18.28
27,Exit long,2019-09-05 22:00,LX_SL,1509.839,6.5,9913.0915,-99.14,-1.00,208.06,2.10,-99.14,-1.00,1728.91,17.29
27,Entry long,2019-08-30 03:30,S2_Rev,1525.091,6.5,9913.0915,-99.14,-1.00,208.06,2.10,-99.14,-1.00,1728.91,17.29
28,Exit long,2019-09-06 14:30,LX_SL,1505.626,6.5,9885.434,-98.86,-1.00,8.67,0.09,-98.86,-1.00,1630.05,16.30
28,Entry long,2019-09-05 23:30,S2_Rev,1520.836,6.5,9885.434,-98.86,-1.00,8.67,0.09,-98.86,-1.00,1630.05,16.30
29,Exit long,2019-09-10 08:00,LX_SL,1494.84,6.6,9965.6106,-99.67,-1.00,118.53,1.19,-99.67,-1.00,1530.38,15.30
29,Entry long,2019-09-06 15:30,S2_Rev,1509.941,6.6,9965.6106,-99.67,-1.00,118.53,1.19,-99.67,-1.00,1530.38,15.30
30,Exit long,2019-09-25 00:00,LX_TP1,1526.195,6.6,9875.3886,197.5,2.00,216.61,2.19,-87.19,-0.88,1727.88,17.28
30,Entry long,2019-09-10 08:30,S2_Rev,1496.271,6.6,9875.3886,197.5,2.00,216.61,2.19,-87.19,-0.88,1727.88,17.28
31,Exit long,2019-09-27 18:00,LX_SL,1491.365,6.6,9942.4446,-99.44,-1.00,39.4,0.40,-99.44,-1.00,1628.44,16.28
31,Entry long,2019-09-26 08:00,S2_Rev,1506.431,6.6,9942.4446,-99.44,-1.00,39.4,0.40,-99.44,-1.00,1628.44,16.28
32,Exit long,2019-09-30 22:30,LX_SL,1479.624,6.6,9864.1686,-98.65,-1.00,56.04,0.57,-98.65,-1.00,1529.79,15.30
32,Entry long,2019-09-27 19:30,S2_Rev,1494.571,6.6,9864.1686,-98.65,-1.00,56.04,0.57,-98.65,-1.00,1529.79,15.30
33,Exit long,2019-10-03 01:00,LX_TP1,1500.501,6.7,9856.2427,197.11,2.00,213.19,2.16,-81.61,-0.83,1726.91,17.27
33,Entry long,2019-10-01 02:30,S2_Rev,1471.081,6.7,9856.2427,197.11,2.00,213.19,2.16,-81.61,-0.83,1726.91,17.27
34,Exit long,2019-10-11 19:30,LX_SL,1485.895,6.6,9905.9796,-99.07,-1.00,106.27,1.07,-99.07,-1.00,1627.84,16.28
34,Entry long,2019-10-04 21:30,S2_Rev,1500.906,6.6,9905.9796,-99.07,-1.00,106.27,1.07,-99.07,-1.00,1627.84,16.28
35,Exit long,2019-10-25 21:30,LX_TP1,1514.628,6.7,9949.0377,198.97,2.00,221.21,2.22,-74.58,-0.75,1826.81,18.27
35,Entry long,2019-10-11 20:30,S2_Rev,1484.931,6.7,9949.0377,198.97,2.00,221.21,2.22,-74.58,-0.75,1826.81,18.27
36,Exit long,2019-11-07 23:30,LX_SL,1477.723,6.6,9851.4966,-98.52,-1.00,154.43,1.57,-98.52,-1.00,1728.28,17.28
36,Entry long,2019-10-29 01:00,S2_Rev,1492.651,6.6,9851.4966,-98.52,-1.00,154.43,1.57,-98.52,-1.00,1728.28,17.28
37,Exit long,2019-11-11 23:00,LX_SL,1453.003,6.8,9980.2308,-99.81,-1.00,35.82,0.36,-99.81,-1.00,1628.47,16.28
37,Entry long,2019-11-08 04:00,S2_Rev,1467.681,6.8,9980.2308,-99.81,-1.00,35.82,0.36,-99.81,-1.00,1628.47,16.28
38,Exit long,2019-12-23 15:30,LX_TP1,1484.355,6.8,9895.7068,197.91,2.00,215.89,2.18,-66.31,-0.67,1826.38,18.26
38,Entry long,2019-11-12 00:30,S2_Rev,1455.251,6.8,9895.7068,197.91,2.00,215.89,2.18,-66.31,-0.67,1826.38,18.26
39,Exit long,2020-01-08 10:00,LX_TP1,1590.156,6.4,9977.4592,199.54,2.00,335.08,3.36,-7.54,-0.08,2025.92,20.26
39,Entry long,2020-01-07 11:00,S2_Rev,1558.978,6.4,9977.4592,199.54,2.00,335.08,3.36,-7.54,-0.08,2025.92,20.26
40,Exit long,2020-01-09 14:30,LX_SL,1545.449,6.4,9990.7904,-99.92,-1.00,7.6,0.08,-99.92,-1.00,1926,19.26
40,Entry long,2020-01-09 01:30,S2_Rev,1561.061,6.4,9990.7904,-99.92,-1.00,7.6,0.08,-99.92,-1.00,1926,19.26
41,Exit long,2020-01-27 08:00,LX_TP1,1578.213,6.4,9902.5216,198.04,2.00,265.16,2.68,-73.53,-0.74,2124.04,21.24
41,Entry long,2020-01-09 16:30,S2_Rev,1547.269,6.4,9902.5216,198.04,2.00,265.16,2.68,-73.53,-0.74,2124.04,21.24
42,Exit long,2020-02-04 23:00,LX_SL,1553.616,6.3,9886.6593,-98.88,-1.00,154.91,1.57,-98.88,-1.00,2025.16,20.25
42,Entry long,2020-01-29 01:30,S2_Rev,1569.311,6.3,9886.6593,-98.88,-1.00,154.91,1.57,-98.88,-1.00,2025.16,20.25
43,Exit long,2020-02-18 14:00,LX_TP1,1584.927,6.4,9944.6464,198.89,2.00,214.64,2.16,-41.93,-0.42,2224.05,22.24
43,Entry long,2020-02-05 04:30,S2_Rev,1553.851,6.4,9944.6464,198.89,2.00,214.64,2.16,-41.93,-0.42,2224.05,22.24
44,Exit long,2020-02-28 15:00,LX_SL,1623.801,6,9841.23,-98.42,-1.00,120.98,1.23,-98.42,-1.00,2125.63,21.26
44,Entry long,2020-02-25 15:30,S2_Rev,1640.205,6,9841.23,-98.42,-1.00,120.98,1.23,-98.42,-1.00,2125.63,21.26
45,Exit long,2020-03-04 01:30,LX_TP2,1646.34,6.3,9973.0323,398.91,4.00,417.75,4.19,-49.27,-0.49,2524.54,25.25
45,Entry long,2020-02-29 04:00,S2_Rev,1583.021,6.3,9973.0323,398.91,4.00,417.75,4.19,-49.27,-0.49,2524.54,25.25
46,Exit long,2020-03-11 03:30,LX_SL,1642.068,6,9951.936,-99.53,-1.00,54.26,0.55,-99.53,-1.00,2425.01,24.25
46,Entry long,2020-03-10 14:30,S2_Rev,1658.656,6,9951.936,-99.53,-1.00,54.26,0.55,-99.53,-1.00,2425.01,24.25
47,Exit long,2020-03-12 20:00,LX_SL,1627.009,6,9860.67,-98.62,-1.00,41.51,0.42,-98.62,-1.00,2326.39,23.26
47,Entry long,2020-03-12 02:00,S2_Rev,1643.445,6,9860.67,-98.62,-1.00,41.51,0.42,-98.62,-1.00,2326.39,23.26
48,Exit long,2020-03-13 02:30,LX_SL,1577.822,6.2,9881.3182,-98.82,-1.00,100.68,1.02,-98.82,-1.00,2227.57,22.28
48,Entry long,2020-03-13 01:00,S2_Rev,1593.761,6.2,9881.3182,-98.82,-1.00,100.68,1.02,-98.82,-1.00,2227.57,22.28
49,Exit long,2020-03-13 21:00,LX_TP1,1594.025,6.3,9845.4573,196.9,2.00,221.36,2.25,-38.81,-0.39,2424.47,24.24
49,Entry long,2020-03-13 10:30,S2_Rev,1562.771,6.3,9845.4573,196.9,2.00,221.36,2.25,-38.81,-0.39,2424.47,24.24
50,Exit long,2020-03-16 08:00,LX_TP1,1553.168,6.5,9897.6475,197.94,2.00,342.97,3.47,-87.93,-0.89,2622.41,26.22
50,Entry long,2020-03-14 03:30,S2_Rev,1522.715,6.5,9897.6475,197.94,2.00,342.97,3.47,-87.93,-0.89,2622.41,26.22
51,Exit long,2020-03-16 23:30,LX_TP1,1500.012,6.7,9853.0267,197.05,2.00,328.09,3.33,-42.3,-0.43,2819.47,28.19
51,Entry long,2020-03-16 22:00,S2_Rev,1470.601,6.7,9853.0267,197.05,2.00,328.09,3.33,-42.3,-0.43,2819.47,28.19
52,Exit long,2020-03-19 00:00,LX_SL,1484.594,6.6,9897.3006,-98.98,-1.00,153.11,1.55,-98.98,-1.00,2720.49,27.20
52,Entry long,2020-03-18 16:30,S2_Rev,1499.591,6.6,9897.3006,-98.98,-1.00,153.11,1.55,-98.98,-1.00,2720.49,27.20
53,Exit long,2020-04-01 01:00,LX_SL,1590.867,6.2,9963.0156,-99.64,-1.00,42.05,0.42,-99.64,-1.00,2620.85,26.21
53,Entry long,2020-03-31 18:00,S2_Rev,1606.938,6.2,9963.0156,-99.64,-1.00,42.05,0.42,-99.64,-1.00,2620.85,26.21
54,Exit long,2020-04-01 04:00,LX_SL,1574.278,6.2,9859.1222,-98.6,-1.00,12.52,0.13,-98.6,-1.00,2522.25,25.22
54,Entry long,2020-04-01 02:00,S2_Rev,1590.181,6.2,9859.1222,-98.6,-1.00,12.52,0.13,-98.6,-1.00,2522.25,25.22
55,Exit long,2020-04-03 00:30,LX_TP1,1609.876,6.3,9943.3593,198.86,2.00,233.03,2.34,-49.21,-0.49,2721.11,27.21
55,Entry long,2020-04-01 08:00,S2_Rev,1578.311,6.3,9943.3593,198.86,2.00,233.03,2.34,-49.21,-0.49,2721.11,27.21
56,Exit long,2020-04-17 18:00,LX_SL,1686.365,5.8,9879.7258,-98.81,-1.00,8.58,0.09,-98.81,-1.00,2622.3,26.22
56,Entry long,2020-04-17 15:00,S2_Rev,1703.401,5.8,9879.7258,-98.81,-1.00,8.58,0.09,-98.81,-1.00,2622.3,26.22
57,Exit long,2020-04-21 19:30,LX_SL,1662.15,5.9,9905.7519,-99.07,-1.00,12.63,0.13,-125.91,-1.27,2523.23,25.23
57,Entry long,2020-04-21 19:00,S2_Rev,1678.941,5.9,9905.7519,-99.07,-1.00,12.63,0.13,-125.91,-1.27,2523.23,25.23
58,Exit long,2020-04-22 17:30,LX_TP1,1703.848,5.9,9855.6019,197.1,2.00,216.38,2.20,-56.88,-0.58,2720.33,27.20
58,Entry long,2020-04-21 20:30,S2_Rev,1670.441,5.9,9855.6019,197.1,2.00,216.38,2.20,-56.88,-0.58,2720.33,27.20
59,Exit long,2020-04-28 09:30,LX_SL,1699.037,5.8,9953.9658,-99.55,-1.00,73.83,0.74,-99.55,-1.00,2620.78,26.21
59,Entry long,2020-04-25 00:30,S2_Rev,1716.201,5.8,9953.9658,-99.55,-1.00,73.83,0.74,-99.55,-1.00,2620.78,26.21
60,Exit long,2020-05-01 00:00,LX_SL,1684.742,5.8,9870.2138,-98.71,-1.00,117.04,1.19,-98.71,-1.00,2522.07,25.22
60,Entry long,2020-04-28 15:00,S2_Rev,1701.761,5.8,9870.2138,-98.71,-1.00,117.04,1.19,-98.71,-1.00,2522.07,25.22
61,Exit long,2020-05-01 14:00,LX_SL,1671.525,5.9,9961.6249,-99.63,-1.00,11.43,0.11,-99.63,-1.00,2422.44,24.22
61,Entry long,2020-05-01 06:30,S2_Rev,1688.411,5.9,9961.6249,-99.63,-1.00,11.43,0.11,-99.63,-1.00,2422.44,24.22
62,Exit long,2020-05-06 04:00,LX_TP1,1709.999,5.9,9891.1789,197.82,2.00,225.85,2.28,-42.31,-0.43,2620.26,26.20
62,Entry long,2020-05-01 15:00,S2_Rev,1676.471,5.9,9891.1789,197.82,2.00,225.85,2.28,-42.31,-0.43,2620.26,26.20
63,Exit long,2020-05-14 22:00,LX_TP1,1730.506,5.8,9840.1408,196.79,2.00,223.79,2.27,-90.34,-0.92,2817.05,28.17
63,Entry long,2020-05-06 22:00,S2_Rev,1696.576,5.8,9840.1408,196.79,2.00,223.79,2.27,-90.34,-0.92,2817.05,28.17
64,Exit long,2020-05-19 14:30,LX_SL,1725.229,5.7,9933.1449,-99.34,-1.00,7.66,0.08,-99.34,-1.00,2717.71,27.18
64,Entry long,2020-05-18 22:30,S2_Rev,1742.657,5.7,9933.1449,-99.34,-1.00,7.66,0.08,-99.34,-1.00,2717.71,27.18
65,Exit long,2020-05-21 22:30,LX_SL,1719.756,5.7,9901.6353,-99.03,-1.00,27.76,0.28,-99.03,-1.00,2618.69,26.19
65,Entry long,2020-05-21 15:30,S2_Rev,1737.129,5.7,9901.6353,-99.03,-1.00,27.76,0.28,-99.03,-1.00,2618.69,26.19
66,Exit long,2020-05-27 12:00,LX_SL,1707.116,5.7,9828.8577,-98.3,-1.00,89.77,0.91,-98.3,-1.00,2520.39,25.20
66,Entry long,2020-05-22 00:00,S2_Rev,1724.361,5.7,9828.8577,-98.3,-1.00,89.77,0.91,-98.3,-1.00,2520.39,25.20
67,Exit long,2020-05-29 23:00,LX_TP1,1733.783,5.8,9858.7762,197.17,2.00,207.18,2.10,-19.48,-0.20,2717.56,27.18
67,Entry long,2020-05-27 22:00,S2_Rev,1699.789,5.8,9858.7762,197.17,2.00,207.18,2.10,-19.48,-0.20,2717.56,27.18
68,Exit long,2020-06-03 20:30,LX_SL,1710.175,5.7,9846.4707,-98.47,-1.00,26.39,0.27,-98.47,-1.00,2619.08,26.19
68,Entry long,2020-06-03 02:00,S2_Rev,1727.451,5.7,9846.4707,-98.47,-1.00,26.39,0.27,-98.47,-1.00,2619.08,26.19
69,Exit long,2020-06-05 20:30,LX_SL,1683.029,5.8,9860.1798,-98.61,-1.00,127.48,1.29,-98.61,-1.00,2520.47,25.20
69,Entry long,2020-06-04 00:30,S2_Rev,1700.031,5.8,9860.1798,-98.61,-1.00,127.48,1.29,-98.61,-1.00,2520.47,25.20
70,Exit long,2020-06-09 21:00,LX_TP1,1715.879,5.9,9925.1924,198.49,2.00,210.71,2.12,-37.97,-0.38,2718.97,27.19
70,Entry long,2020-06-06 01:00,S2_Rev,1682.236,5.9,9925.1924,198.49,2.00,210.71,2.12,-37.97,-0.38,2718.97,27.19
71,Exit long,2020-06-15 20:30,LX_SL,1705.839,5.8,9993.8118,-99.95,-1.00,6.49,0.06,-99.95,-1.00,2619.02,26.19
71,Entry long,2020-06-15 15:00,S2_Rev,1723.071,5.8,9993.8118,-99.95,-1.00,6.49,0.06,-99.95,-1.00,2619.02,26.19
72,Exit long,2020-06-22 10:30,LX_TP1,1751.937,5.8,9962.0046,199.23,2.00,239.33,2.40,-29.39,-0.30,2818.25,28.18
72,Entry long,2020-06-15 22:30,S2_Rev,1717.587,5.8,9962.0046,199.23,2.00,239.33,2.40,-29.39,-0.30,2818.25,28.18
73,Exit long,2020-07-01 16:00,LX_TP1,1787.463,5.7,9988.7712,199.77,2.00,209.38,2.10,-8.64,-0.09,3018.02,30.18
73,Entry long,2020-06-26 22:30,S2_Rev,1752.416,5.7,9988.7712,199.77,2.00,209.38,2.10,-8.64,-0.09,3018.02,30.18
74,Exit long,2020-07-08 18:00,LX_TP1,1802.146,5.6,9894.1416,197.88,2.00,207.75,2.10,-65.02,-0.66,3215.89,32.16
74,Entry long,2020-07-02 00:00,S2_Rev,1766.811,5.6,9894.1416,197.88,2.00,207.75,2.10,-65.02,-0.66,3215.89,32.16
75,Exit long,2020-07-23 00:30,LX_TP2,1868.428,5.5,9881.1185,395.24,4.00,405.86,4.11,-8.07,-0.08,3611.13,36.11
