time,open,high,low,close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2014-03-10,79.715,79.831,79.626,79.768,40.05152334074111,41.82170519415678,,,,
2014-03-11,79.755,79.934,79.709,79.736,39.5151488666545,41.81566086466212,,,,
2014-03-12,79.798,79.859,79.547,79.608,37.359890535316715,41.396754099772195,,,,
2014-03-13,79.587,79.693,79.268,79.62,37.70294194457867,41.06970501398428,,,,
2014-03-14,79.624,79.697,79.313,79.446,34.732661543029295,40.58453302122344,,,,
2014-03-17,79.403,79.556,79.28,79.385,33.72944053464646,40.11811365690333,,,,
2014-03-18,79.381,79.542,79.308,79.414,34.69517267543412,39.14929409765891,,,,
2014-03-19,79.383,80.111,79.361,79.995,50.31631162757869,39.5251248895799,,,,
2014-03-20,80.004,80.354,79.923,80.192,54.307372227786914,40.91900181624602,,,,
2014-03-21,80.191,80.228,80.034,80.105,52.30894577259362,41.52981524155121,,,,
2014-03-24,80.121,80.29,79.752,79.934,48.52894593868433,41.73513915788226,,,,
2014-03-25,79.935,80.268,79.859,79.944,48.76212817832483,42.03214483238089,,,,
2014-03-26,79.944,80.144,79.922,80.032,50.871407451745064,42.98240106607561,,,,
2014-03-27,80.028,80.2,79.952,80.111,52.75183685729495,43.97383767817208,,,,
2014-03-28,80.148,80.251,80.059,80.176,54.3017012222463,44.99170752685102,,,,
2014-03-31,80.19,80.296,79.962,80.1,52.14778146654668,45.89403842684332,,,,
2014-04-01,80.113,80.134,79.973,80.094,51.972509639537506,46.93779693428767,,,,
2014-04-02,80.067,80.277,79.999,80.215,55.23979556231783,48.19042933555475,,,,
2014-04-03,80.223,80.532,80.119,80.475,61.32772524683108,50.09007674296915,,,,
2014-04-04,80.453,80.599,80.343,80.423,59.58226776490081,51.936707259415904,,,,
2014-04-07,80.412,80.45,80.192,80.232,53.55317022409973,53.283707084320575,,,,
2014-04-08,80.22,80.227,79.709,79.752,42.04009122975102,52.69254848447575,,,,
2014-04-09,79.796,79.875,79.465,79.484,37.22779990805383,51.472579033066246,,,,
2014-04-10,79.52,79.572,79.33,79.383,35.57505763276667,50.27730130879288,,,,
2014-04-11,79.408,79.569,79.364,79.452,37.61278357354458,49.49757542556862,,,,
2014-04-14,79.616,79.83,79.562,79.729,45.11760179945547,49.23725211279224,,,,
2014-04-15,79.745,79.904,79.685,79.803,46.95345644966125,48.957398469786256,,,,
2014-04-16,79.789,79.872,79.648,79.803,46.95345644966125,48.54322844066956,,,,
2014-04-17,79.81,79.876,79.581,79.828,47.639710480443,48.06737195911218,,,,
2014-04-21,79.863,79.987,79.788,79.945,50.844714486777534,47.97429574627152,,,,
2014-04-22,79.958,79.988,79.793,79.905,49.72410996983048,47.813695769863884,,,,
2014-04-23,79.888,79.924,79.698,79.855,48.29135910131741,47.31737887979242,,,,
2014-04-24,79.853,79.968,79.748,79.799,46.66940474035086,46.2703559864724,,,,
2014-04-25,79.753,79.8,79.662,79.749,45.20936632744451,45.24372016951124,,,,
