time,open,high,low,close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1972-11-13,109.9,109.91,109.82,109.91,64.30978701294242,54.08696848663186,,,,
1972-11-20,109.93,109.93,109.89,109.9,63.96688478233178,55.4475904572047,,,,
1972-11-27,109.82,109.89,109.82,109.87,62.88361488115539,56.67863836333982,,,,
1972-12-04,109.93,110.04,109.93,110.04,66.36015910737206,58.17346601120371,,,,
1972-12-11,110.07,110.09,110.02,110.07,66.94850165319829,59.75926395385515,,,,
1972-12-18,110.2,110.2,110.01,110.06,66.53080353399218,61.211202104329345,,,,
1972-12-25,110.09,110.15,110.09,110.14,68.23807709807141,62.59830008548819,,,,
1973-01-01,110.2,110.26,110.2,110.26,70.65605471546752,63.614960876176504,,,,
1973-01-08,110.27,110.27,110.08,110.16,66.13752770259083,64.588884344219,,,,
1973-01-15,110.25,110.31,110.23,110.31,69.30816322893854,65.41789213806278,,,,
1973-01-22,109.94,109.99,109.67,109.67,48.45944053300744,64.6675623614137,,,,
1973-01-29,109.26,109.26,108.79,109.05,36.8841633598107,62.61667543730171,,,,
1973-02-05,108.96,108.96,108.41,108.41,29.14505608704357,60.26993829370705,,,,
1973-02-12,103.18,103.18,101.62,102.33,9.262278511560766,56.363608014820215,,,,
1973-02-19,102.74,102.74,100.8,100.8,7.817075100279752,52.32841430677287,,,,
1973-02-26,101.15,101.15,98.72,98.72,6.363428332518836,48.21388170321482,,,,
1973-03-05,99.72,99.72,99.06,99.22,10.664059228261962,44.483913442293854,,,,
1973-03-12,99.22,100.37,99.22,100.37,19.789057766245605,41.15740620364197,,,,
1973-03-19,100.58,100.69,100.44,100.69,22.171285449775993,37.95903361768323,,,,
1973-03-26,100.62,101.17,100.58,101.17,25.734270836063672,35.0449955678312,,,,
1973-04-02,101.46,101.69,100.97,101.16,25.70786598897105,32.007123345752596,,,,
1973-04-09,101.23,101.23,101.03,101.16,25.70786598897105,28.796538436717135,,,,
1973-04-16,101.37,101.37,101.09,101.29,26.83964160516051,25.989546572614966,,,,
1973-04-23,101.28,101.51,101.28,101.47,28.46463695019375,23.072151838418907,,,,
1973-04-30,101.43,101.45,101.37,101.45,28.38918483948038,21.638562146024118,,,,
1973-05-07,101.49,101.49,101.11,101.11,27.075255781849236,20.93792589045544,,,,
1973-05-14,100.2,100.2,99.2,99.54,22.009591582954386,20.428249854449067,,,,
1973-05-21,98.66,99.36,98.66,99.36,21.512638885527423,21.303275595446685,,,,
1973-05-28,98.87,98.87,97.56,97.56,17.304837148766936,21.980972884624347,,,,
1973-06-04,96.2,97.63,96.2,97.32,16.832096217481904,22.728734876407422,,,,
1973-06-11,97.4,97.6,96.95,96.95,16.10178997467166,23.11714421543669,,,,
1973-06-18,96.37,96.55,96.07,96.07,14.491360869034068,22.738737294207294,,,,
1973-06-25,96.09,96.09,93.88,93.88,11.428079817522686,21.971365463332056,,,,
1973-07-02,93.42,93.42,90.54,90.54,8.482913893452192,20.73912568171695,,,,
1973-07-09,91.72,94.22,91.72,93.63,27.180340661581766,20.84430244404629,,,,
1973-07-16,93.14,93.14,91.95,92.46,25.09010967099387,20.8001769927622,,,,
1973-07-23,92.39,92.49,92.33,92.49,25.248846376551384,20.68654876214726,,,,
1973-07-30,93.01,93.24,92.87,93.24,29.283301335703072,20.74502478968364,,,,
1973-08-06,93.91,94.71,93.58,94.71,36.515575984124695,21.32548130001538,,,,
1973-08-13,94.78,96.42,94.78,96.22,42.96790564986103,22.460670576301936,,,,
1973-08-20,94.88,96.22,94.88,95.82,41.75717319812785,23.871212120242895,,,,
1973-08-27,96,96.04,95.5,95.77,41.59938098697793,25.305979413203648,,,,
1973-09-03,95.78,95.78,95.28,95.28,40.00398503313048,26.927347119229616,,,,
1973-09-10,95.47,95.78,95.47,95.71,42.10243666521409,28.732371436924776,,,,
1973-09-17,94.8,94.9,94.3,94.77,38.89938887490821,30.360771358370243,,,,
1973-09-24,94.55,94.79,94.55,94.79,39.00571308649738,32.11179651676048,,,,
1973-10-01,94.74,94.84,94.74,94.84,39.290139903444434,34.10194366575489,,,,
1973-10-08,94.74,94.74,94.22,94.35,37.44719871173964,36.170821152775424,,,,
1973-10-15,94.41,94.41,93.89,94.25,37.06509468096489,36.876875011302786,,,,
1973-10-22,93.78,94.64,93.78,94.64,39.65139417950037,37.916966761910395,,,,
1973-10-29,95.13,95.49,95.06,95.49,44.9602695804177,39.32492556218656,,,,
1973-11-05,96.13,97.97,96.13,97.97,56.87924847883837,41.29606464383908,,,,
1973-11-12,99.28,99.34,98.83,98.93,60.44965196544829,43.0056414996479,,,,
1973-11-19,98.84,100.9,98.84,100.9,66.56727162790924,44.69131049807992,,,,
1973-11-26,100.65,100.65,100.14,100.35,63.609040160445545,46.25215813824547,,,,
1973-12-03,100.59,101.16,100.59,101.02,65.6137564830288,47.967470673677674,,,,
1973-12-10,101.32,101.34,101.08,101.27,66.35846296686886,49.849933383230415,,,,
1973-12-17,101.42,101.72,101.42,101.72,67.71388151773736,51.679322301267796,,,,
1973-12-24,101.77,102.4,101.77,102.4,69.7004985749271,53.87940156555486,,,,
1973-12-31,102.39,104.35,102.39,104.35,74.53874994238794,56.4174756266899,,,,
1974-01-07,107.59,107.65,105.86,106.03,77.82417842655121,59.16990694976896,,,,
1974-01-14,106.6,107.61,106.6,107.26,79.87200564455435,62.20025030211286,,,,
1974-01-21,109.28,109.5,108.55,108.62,81.86600727807179,65.40031548762049,,,,
1974-01-28,108.33,108.33,105.9,106.21,68.84964744347334,67.4859050064757,,,,
1974-02-04,105.55,106.06,105.55,105.91,67.41277881971985,69.08965566642586,,,,
1974-02-11,105.55,105.55,104.73,104.73,61.93740491585039,69.45095255478387,,,,
1974-02-18,103.96,103.96,102.19,102.19,52.12350629269056,68.85622786387259,,,,
1974-02-25,103.21,103.69,102.8,103.69,56.50635604635379,68.13759103661864,,,,
1974-03-04,103.74,103.74,102.69,102.69,53.021538868428024,67.38134094433167,,,,
1974-03-11,102.4,102.4,101.99,102.19,51.317411212665995,66.36017342502005,,,,
1974-03-18,102.16,102.16,100.09,100.54,46.05673506189222,64.91005000323601,,,,
1974-03-25,99.48,100.12,99.06,99.51,43.0873624303354,63.15101292556443,,,,
1974-04-01,99.92,100.27,99.52,100.1,45.26427939525505,61.405568698445,,,,
1974-04-08,100.11,100.9,100.11,100.59,47.07488440540399,59.44386401723187,,,,
1974-04-15,100.62,100.67,99.89,99.92,44.88838067543705,57.09130703500942,,,,
1974-04-22,99.64,99.64,98.78,99.02,42.062166998697215,54.39060427459105,,,,
1974-04-29,98.22,98.8,98.22,98.8,41.376381313967286,51.49848813429787,,,,
1974-05-06,98.07,98.41,97.47,97.47,37.405839106563725,49.25250182451862,,,,
1974-05-13,96.86,98.22,96.86,98.19,40.722150406576596,47.34602836643696,,,,
1974-05-20,98.91,98.91,98.23,98.7,43.02480935745699,45.99512868369458,,,,
1974-05-27,99.33,100.1,99.33,99.77,47.62192079460723,45.67358686240291,,,,
1974-06-03,99.56,99.6,99.08,99.27,45.76372479930726,44.90625605904245,,,,
1974-06-10,99.56,100.24,99.56,99.98,48.817779176612376,44.605987509627035,,,,
1974-06-17,100,100.51,100,100.51,51.034345241924164,44.5857685117169,,,,
1974-06-24,101.16,101.16,100.16,100.16,49.509495969030155,44.832394290798184,,,,
1974-07-01,100.43,100.43,99.99,100.24,49.878132389887824,45.31744928790908,,,,
1974-07-08,100.31,100.68,100.31,100.37,50.51045691643214,45.69217625370744,,,,
1974-07-15,100.15,100.2,100.07,100.2,49.62872581492478,45.87459349724464,,,,
1974-07-22,100.07,100.12,98.96,100.12,49.19352613699625,46.18210388735601,,,,
1974-07-29,100.37,100.68,100.37,100.63,52.078555346898604,46.89756019794182,,,,
1974-08-05,100.63,101.59,100.63,101.33,55.78937905086666,47.92706003629178,,,,
1974-08-12,101.53,102.32,101.53,102.32,60.453504872269576,49.57332187669933,,,,
1974-08-19,102.79,102.87,102.65,102.73,62.23062500359665,51.109641490772205,,,,
1974-08-26,102.58,103.18,102.58,103.18,64.1355850781797,52.617554042252394,,,,
1974-09-02,103.16,103.44,103.12,103.38,64.98096593189436,53.857485837772906,,,,
1974-09-09,103.37,103.37,103.1,103.1,62.75088198864899,55.070854208440174,,,,
1974-09-16,103.07,103.07,102.54,102.76,60.055659880774364,55.87355997302318,,,,
1974-09-23,102.55,102.67,102.46,102.46,57.70070356350493,56.34972842456465,,,,
1974-09-30,102.48,102.48,101.94,101.94,53.76522836769676,56.65370931018369,,,,
1974-10-07,101.92,102,101.27,101.91,53.53835491124436,56.91515377599488,,,,
1974-10-14,101.73,101.73,101.42,101.42,49.83911876358242,56.86720105079133,,,,
1974-10-21,101.65,101.65,101.16,101.16,47.94606916536084,56.7470112901082,,,,
1974-10-28,101.26,101.29,101.08,101.08,47.35011345652226,56.61533895578862,,,,
1974-11-04,100.85,100.89,100.49,100.89,45.891170182769145,56.17338287263652,,,,
1974-11-11,101.39,101.39,100.38,100.38,42.13804521415241,55.1982875985855,,,,
1974-11-18,99.14,100.69,99.14,100.01,39.6072619956579,53.7092702502561,,,,
1974-11-25,99.58,99.58,99.38,99.57,36.77841652630844,51.89125535902122,,,,
1974-12-02,99.99,99.99,99.34,99.47,36.146538684360266,49.8920377594627,,,,
1974-12-09,98.99,98.99,98.69,98.89,32.643466783095164,47.582216391691325,,,,
1974-12-16,98.55,98.55,97.93,98.29,29.462495130857732,45.20447447327766,,,,
1974-12-23,98.25,98.25,97.63,97.63,26.413436342614972,42.80145850626627,,,,
1974-12-30,97.29,97.71,97.17,97.17,24.509594043037453,40.43066496909002,,,,
1975-01-06,96.62,97.14,96.62,96.86,23.29120344152551,38.25394890293493,,,,
1975-01-13,96.98,97.39,96.82,96.82,23.1314185653699,36.08202487822961,,,,
1975-01-20,96.37,96.37,95.07,95.07,17.48107733250727,33.77073620458138,,,,
1975-01-27,94.43,95.75,94.43,95.61,23.676501859658273,32.037195682745484,,,,
1975-02-03,95.88,96.41,95.88,95.98,27.682874350089563,30.63239288942886,,,,
1975-02-10,95.4,95.49,94.96,94.98,24.013943681479915,29.069733853622484,,,,
1975-02-17,94.77,94.77,94.22,94.22,21.663961963365296,27.60729933570912,,,,
1975-02-24,93.56,93.71,92.93,93,18.529298664162198,26.101730526316572,,,,
1975-03-03,92.82,94.09,92.82,94.09,28.485596623351967,25.509386247533964,,,,
1975-03-10,94.18,94.19,93.7,93.99,28.145761997980443,24.937902198506837,,,,
1975-03-17,93.86,93.86,93.44,93.86,27.68339200152434,24.58361114268035,,,,
1975-03-24,94.09,94.87,94.09,94.87,36.422069744647594,25.080723615093913,,,,
1975-03-31,94.82,95.36,94.45,95.36,40.19766316952976,26.065311245587825,,,,
1975-04-07,95.36,95.79,95.14,95.63,42.233338312256876,27.331292979103498,,,,
1975-04-14,95.9,95.9,95.54,95.54,41.72349766655372,28.64788542374837,,,,
1975-04-21,95.69,95.69,95.23,95.62,42.38925308670935,30.023445032415474,,,,
1975-04-28,95.8,95.8,95.36,95.44,41.24746451508577,31.72104411688537,,,,
1975-05-05,95.25,95.25,94.61,94.93,38.11485305975249,32.752354916892095,,,,
1975-05-12,95.1,95.25,94.57,95.12,39.944757076280794,33.62820368304862,,,,
1975-05-19,94.92,94.93,94.24,94.24,34.81062064695992,34.399394894868614,,,,
1975-05-26,94.24,94.63,94.24,94.63,38.57848094483983,35.607574822116796,,,,
1975-06-02,94.53,94.56,94.36,94.56,38.15223908997278,37.00921342396041,,,,
1975-06-09,94.64,94.64,94.52,94.59,38.46602528782943,37.7221011857088,,,,
1975-06-16,94.58,94.83,94.58,94.82,40.93999620902243,38.63597505792609,,,,
1975-06-23,95.01,95.58,95.01,95.58,48.332141929696455,40.110885767081236,,,,
1975-06-30,95.86,96.73,95.86,96.73,57.08508723168671,41.586815587584034,,,,
1975-07-07,97.2,97.74,96.91,97.74,63.01169755906908,43.21638947255112,,,,
1975-07-14,97.99,99.34,97.99,99.34,70.06458187161249,45.20433544107652,,,,
1975-07-21,99.63,100.26,99.63,100.07,72.62895544457578,47.41186813950667,,,,
1975-07-28,100.69,101.3,100.69,101.3,76.31115106514773,49.83486085225227,,,,
1975-08-04,101.21,101.85,100.92,101.75,77.50354995438067,52.42458124077333,,,,
1975-08-11,101.91,101.98,101.63,101.68,76.85547886653501,55.191768798400666,,,,
1975-08-18,101.57,101.62,101.21,101.62,76.26680534677575,57.78620081772173,,,,
1975-08-25,101.76,101.79,101.65,101.79,76.80881248881607,60.78607166356859,,,,
1975-09-01,101.89,101.91,101.69,101.91,77.20455606185713,63.54507702906983,,,,
1975-09-08,101.84,102.22,101.84,102.22,78.23769994404729,66.4083242329323,,,,
1975-09-15,102.3,103.65,102.3,103.65,82.23703087367522,69.53482463192128,,,,
1975-09-22,104.32,104.81,104.19,104.48,84.06723842672123,72.61534193318548,,,,
1975-09-29,104.77,104.77,103.46,103.95,78.50482107616656,74.77053330079049,,,,
1975-10-06,103.49,103.49,102.47,102.47,65.47639185104288,75.36991220217307,,,,
1975-10-13,103.01,103.01,102.19,102.25,63.78190248397944,75.42492683966667,,,,
1975-10-20,102.23,102.23,101.75,101.84,60.63265663559433,74.7512178942368,,,,
1975-10-27,102.02,102.1,101.61,101.61,58.87643523082015,73.76889502182568,,,,
1975-11-03,101.59,102.07,101.59,101.94,60.638085402973545,72.64939033167039,,,,
1975-11-10,101.92,102.71,101.92,102.71,64.46339285355455,71.71795053875424,,,,
