Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
18,Entry long,2019-07-02 22:30,S2_LE,1391.901,7.1,9882.4971,208.23,2.11,325.17,3.29,-2.14,-0.02,1005.4,10.05
19,Exit long,2019-07-05 20:30,S2_SL,1402.414,7,9916.067,-99.17,-1.00,53.33,0.54,-99.17,-1.00,906.23,9.06
19,Entry long,2019-07-04 07:00,S2_LE,1416.581,7,9916.067,-99.17,-1.00,53.33,0.54,-99.17,-1.00,906.23,9.06
20,Exit long,2019-07-11 08:30,S2_LX_TP1,1424.144,7.1,9913.1691,198.25,2.00,211.43,2.13,-75.62,-0.76,1104.48,11.04
20,Entry long,2019-07-05 23:30,S2_LE,1396.221,7.1,9913.1691,198.25,2.00,211.43,2.13,-75.62,-0.76,1104.48,11.04
21,Exit long,2019-07-11 22:30,S2_SL,1411.145,7,9977.807,-99.79,-1.00,12.31,0.12,-99.79,-1.00,1004.69,10.05
21,Entry long,2019-07-11 09:00,S2_LE,1425.401,7,9977.807,-99.79,-1.00,12.31,0.12,-99.79,-1.00,1004.69,10.05
22,Exit long,2019-07-19 06:30,S2_LX_TP1,1438.73,7,9873.647,197.46,2.00,297,3.01,-75.75,-0.77,1202.15,12.02
22,Entry long,2019-07-15 23:00,S2_LE,1410.521,7,9873.647,197.46,2.00,297,3.01,-75.75,-0.77,1202.15,12.02
23,Exit long,2019-07-26 01:00,S2_SL,1411.532,7,9980.537,-99.81,-1.00,56.05,0.56,-99.81,-1.00,1102.34,11.02
23,Entry long,2019-07-23 22:00,S2_LE,1425.791,7,9980.537,-99.81,-1.00,56.05,0.56,-99.81,-1.00,1102.34,11.02
24,Exit long,2019-08-01 21:00,S2_SL,1401.482,7,9909.48,-99.11,-1.00,130.97,1.32,-99.11,-1.00,1003.24,10.03
24,Entry long,2019-07-26 07:30,S2_LE,1415.64,7,9909.48,-99.11,-1.00,130.97,1.32,-99.11,-1.00,1003.24,10.03
25,Exit long,2019-08-05 22:30,S2_LX_TP1,1466.859,6.9,9922.8831,198.44,2.00,218.05,2.20,-55.88,-0.56,1201.68,12.02
25,Entry long,2019-08-02 08:00,S2_LE,1438.099,6.9,9922.8831,198.44,2.00,218.05,2.20,-55.88,-0.56,1201.68,12.02
26,Exit long,2019-08-07 22:00,S2_LX_TP1,1500.782,6.7,9858.0852,197.15,2.00,261.8,2.66,-21.61,-0.22,1398.83,13.99
26,Entry long,2019-08-07 01:00,S2_LE,1471.356,6.7,9858.0852,197.15,2.00,261.8,2.66,-21.61,-0.22,1398.83,13.99
27,Exit long,2019-08-13 18:30,S2_LX_TP1,1531.122,6.6,9907.2666,198.14,2.00,223.93,2.26,-91.36,-0.92,1596.97,15.97
27,Entry long,2019-08-07 23:00,S2_LE,1501.101,6.6,9907.2666,198.14,2.00,223.93,2.26,-91.36,-0.92,1596.97,15.97
28,Exit long,2019-08-19 16:00,S2_SL,1500.795,6.5,9853.714,-98.55,-1.00,78.29,0.79,-98.55,-1.00,1498.43,14.98
28,Entry long,2019-08-15 02:00,S2_LE,1515.956,6.5,9853.714,-98.55,-1.00,78.29,0.79,-98.55,-1.00,1498.43,14.98
29,Exit long,2019-08-26 15:00,S2_LX_TP1,1533.172,6.6,9920.5326,198.4,2.00,344.65,3.47,-72.01,-0.73,1696.83,16.97
29,Entry long,2019-08-21 13:00,S2_LE,1503.111,6.6,9920.5326,198.4,2.00,344.65,3.47,-72.01,-0.73,1696.83,16.97
30,Exit long,2019-08-31 01:30,S2_SL,1518.422,6.5,9969.4465,-99.7,-1.00,108.02,1.08,-99.7,-1.00,1597.12,15.97
30,Entry long,2019-08-26 15:30,S2_LE,1533.761,6.5,9969.4465,-99.7,-1.00,108.02,1.08,-99.7,-1.00,1597.12,15.97
31,Exit long,2019-09-05 21:30,S2_SL,1530.45,6.4,9893.8304,-98.95,-1.00,71.61,0.72,-98.95,-1.00,1498.17,14.98
31,Entry long,2019-09-04 01:00,S2_LE,1545.911,6.4,9893.8304,-98.95,-1.00,71.61,0.72,-98.95,-1.00,1498.17,14.98
32,Exit long,2019-09-10 09:00,S2_SL,1490.128,6.6,9934.1946,-99.35,-1.00,149.95,1.51,-99.35,-1.00,1398.82,13.99
32,Entry long,2019-09-06 18:00,S2_LE,1505.181,6.6,9934.1946,-99.35,-1.00,149.95,1.51,-99.35,-1.00,1398.82,13.99
33,Exit long,2019-09-23 22:30,S2_LX_TP1,1522.582,6.6,9852.0114,197.03,2.00,210.88,2.14,-63.82,-0.65,1595.85,15.96
33,Entry long,2019-09-10 20:30,S2_LE,1492.729,6.6,9852.0114,197.03,2.00,210.88,2.14,-63.82,-0.65,1595.85,15.96
34,Exit long,2019-09-26 00:00,S2_SL,1506.502,6.5,9891.1865,-98.92,-1.00,90.8,0.92,-98.92,-1.00,1496.93,14.97
34,Entry long,2019-09-24 15:30,S2_LE,1521.721,6.5,9891.1865,-98.92,-1.00,90.8,0.92,-98.92,-1.00,1496.93,14.97
35,Exit long,2019-09-27 17:30,S2_SL,1493.751,6.6,9958.3506,-99.59,-1.00,23.49,0.24,-99.59,-1.00,1397.34,13.97
35,Entry long,2019-09-26 15:00,S2_LE,1508.841,6.6,9958.3506,-99.59,-1.00,23.49,0.24,-99.59,-1.00,1397.34,13.97
36,Exit long,2019-09-30 23:00,S2_SL,1477.624,6.6,9850.8366,-98.52,-1.00,69.37,0.70,-98.52,-1.00,1298.82,12.99
36,Entry long,2019-09-27 19:00,S2_LE,1492.551,6.6,9850.8366,-98.52,-1.00,69.37,0.70,-98.52,-1.00,1298.82,12.99
37,Exit long,2019-10-02 22:00,S2_LX_TP1,1490.617,6.8,9937.4588,198.74,2.00,249.62,2.51,-16.94,-0.17,1497.56,14.98
37,Entry long,2019-10-01 16:00,S2_LE,1461.391,6.8,9937.4588,198.74,2.00,249.62,2.51,-16.94,-0.17,1497.56,14.98
38,Exit long,2019-10-08 01:30,S2_SL,1492.82,6.6,9952.1466,-99.53,-1.00,51.2,0.51,-99.53,-1.00,1398.02,13.98
38,Entry long,2019-10-04 13:30,S2_LE,1507.901,6.6,9952.1466,-99.53,-1.00,51.2,0.51,-99.53,-1.00,1398.02,13.98
39,Exit long,2019-10-11 22:00,S2_SL,1477.325,6.7,9998.0683,-99.99,-1.00,165.89,1.66,-99.99,-1.00,1298.03,12.98
39,Entry long,2019-10-08 10:30,S2_LE,1492.249,6.7,9998.0683,-99.99,-1.00,165.89,1.66,-99.99,-1.00,1298.03,12.98
40,Exit long,2019-10-25 21:30,S2_LX_TP1,1513.843,6.7,9943.8787,198.87,2.00,226.37,2.28,-48.72,-0.49,1496.9,14.97
40,Entry long,2019-10-16 13:30,S2_LE,1484.161,6.7,9943.8787,198.87,2.00,226.37,2.28,-48.72,-0.49,1496.9,14.97
41,Exit long,2019-11-07 23:30,S2_SL,1477.337,6.7,9998.1487,-99.99,-1.00,159.39,1.59,-99.99,-1.00,1396.91,13.97
41,Entry long,2019-10-29 11:30,S2_LE,1492.261,6.7,9998.1487,-99.99,-1.00,159.39,1.59,-99.99,-1.00,1396.91,13.97
42,Exit long,2019-11-11 23:30,S2_SL,1451.042,6.8,9966.7668,-99.68,-1.00,49.28,0.49,-99.68,-1.00,1297.23,12.97
42,Entry long,2019-11-08 03:30,S2_LE,1465.701,6.8,9966.7668,-99.68,-1.00,49.28,0.49,-99.68,-1.00,1297.23,12.97
43,Exit long,2019-12-27 14:00,S2_LX_TP1,1507.759,6.8,9954.5268,298.23,3.00,340.8,3.42,-95.89,-0.96,1595.46,15.95
43,Entry long,2019-11-14 04:30,S2_LE,1463.901,6.8,9954.5268,298.23,3.00,340.8,3.42,-95.89,-0.96,1595.46,15.95
44,Exit long,2020-01-03 21:00,S2_LX_TP1,1543.841,6.6,9989.5686,199.78,2.00,250.2,2.50,-24.89,-0.25,1795.24,17.95
44,Entry long,2019-12-28 02:30,S2_LE,1513.571,6.6,9989.5686,199.78,2.00,250.2,2.50,-24.89,-0.25,1795.24,17.95
45,Exit long,2020-01-08 16:30,S2_LX_TP1,1580.296,6.4,9915.5904,198.3,2.00,396.95,4.00,-20.55,-0.21,1993.55,19.94
45,Entry long,2020-01-04 00:30,S2_LE,1549.311,6.4,9915.5904,198.3,2.00,396.95,4.00,-20.55,-0.21,1993.55,19.94
46,Exit long,2020-01-09 00:00,S2_SL,1565.581,6.3,9962.7948,-99.63,-1.00,27.03,0.27,-99.63,-1.00,1893.91,18.94
46,Entry long,2020-01-08 17:30,S2_LE,1581.396,6.3,9962.7948,-99.63,-1.00,27.03,0.27,-99.63,-1.00,1893.91,18.94
47,Exit long,2020-01-09 14:30,S2_SL,1546.231,6.4,9995.8464,-99.97,-1.00,2.54,0.03,-99.97,-1.00,1793.95,17.94
47,Entry long,2020-01-09 02:00,S2_LE,1561.851,6.4,9995.8464,-99.97,-1.00,2.54,0.03,-99.97,-1.00,1793.95,17.94
48,Exit long,2020-01-27 08:00,S2_LX_TP1,1577.715,6.4,9899.3984,197.98,2.00,268.28,2.71,-70.41,-0.71,1991.92,19.92
48,Entry long,2020-01-09 17:30,S2_LE,1546.781,6.4,9899.3984,197.98,2.00,268.28,2.71,-70.41,-0.71,1991.92,19.92
49,Exit long,2020-01-29 05:30,S2_SL,1565.882,6.3,9964.7163,-99.66,-1.00,3.77,0.04,-99.66,-1.00,1892.26,18.92
49,Entry long,2020-01-28 09:30,S2_LE,1581.701,6.3,9964.7163,-99.66,-1.00,3.77,0.04,-99.66,-1.00,1892.26,18.92
