Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
18,Entry long,2019-03-01 10:00,S1_LE,1314.261,7.6,9988.3836,-49.95,-0.50,1.28,0.01,-49.95,-0.50,339.43,3.39
19,Exit long,2019-03-04 16:30,S1_SL,1290.017,7.7,9983.0577,-49.93,-0.50,3.15,0.03,-49.93,-0.50,289.5,2.90
19,Entry long,2019-03-04 11:00,S1_LE,1296.501,7.7,9983.0577,-49.93,-0.50,3.15,0.03,-49.93,-0.50,289.5,2.90
20,Exit long,2019-03-05 23:00,S1_SL,1283.029,7.7,9928.9806,-49.66,-0.50,2.25,0.02,-49.66,-0.50,239.85,2.40
20,Entry long,2019-03-05 01:00,S1_LE,1289.478,7.7,9928.9806,-49.66,-0.50,2.25,0.02,-49.66,-0.50,239.85,2.40
21,Exit long,2019-03-08 14:30,S1_LX_TP1,1292.517,7.7,9902.8776,49.5,0.50,56.46,0.57,-43.07,-0.43,289.35,2.89
21,Entry long,2019-03-06 03:00,S1_LE,1286.088,7.7,9902.8776,49.5,0.50,56.46,0.57,-43.07,-0.43,289.35,2.89
22,Exit long,2019-03-11 22:30,S1_SL,1291.699,7.7,9996.0707,-49.99,-0.50,7.23,0.07,-49.99,-0.50,239.36,2.39
22,Entry long,2019-03-11 14:00,S1_LE,1298.191,7.7,9996.0707,-49.99,-0.50,7.23,0.07,-49.99,-0.50,239.36,2.39
23,Exit long,2019-03-13 02:30,S1_LX_TP1,1299.826,7.7,9958.8797,49.78,0.50,51.89,0.52,-12.02,-0.12,289.14,2.89
23,Entry long,2019-03-12 06:30,S1_LE,1293.361,7.7,9958.8797,49.78,0.50,51.89,0.52,-12.02,-0.12,289.14,2.89
24,Exit long,2019-03-15 16:00,S1_LX_TP1,1303.069,7.7,9983.7276,49.9,0.50,55.69,0.56,-22.24,-0.22,339.04,3.39
24,Entry long,2019-03-15 06:30,S1_LE,1296.588,7.7,9983.7276,49.9,0.50,55.69,0.56,-22.24,-0.22,339.04,3.39
25,Exit long,2019-03-21 21:30,S1_LX_TP1,1314.099,7.6,9906.638,80.51,0.81,128.48,1.30,-38.04,-0.38,419.56,4.20
25,Entry long,2019-03-18 15:00,S1_LE,1303.505,7.6,9906.638,80.51,0.81,128.48,1.30,-38.04,-0.38,419.56,4.20
26,Exit long,2019-03-25 15:30,S1_LX_TP1,1316.565,7.6,9956.1216,49.77,0.50,54.6,0.55,-22.92,-0.23,469.33,4.69
26,Entry long,2019-03-22 10:00,S1_LE,1310.016,7.6,9956.1216,49.77,0.50,54.6,0.55,-22.92,-0.23,469.33,4.69
27,Exit long,2019-03-27 21:30,S1_SL,1309.061,7.6,9998.8716,-50.01,-0.50,27.81,0.28,-50.01,-0.50,419.32,4.19
27,Entry long,2019-03-27 02:00,S1_LE,1315.641,7.6,9998.8716,-50.01,-0.50,27.81,0.28,-50.01,-0.50,419.32,4.19
28,Exit long,2019-03-28 19:30,S1_SL,1303.658,7.6,9957.6036,-49.8,-0.50,16.26,0.16,-49.8,-0.50,369.52,3.70
28,Entry long,2019-03-28 11:00,S1_LE,1310.211,7.6,9957.6036,-49.8,-0.50,16.26,0.16,-49.8,-0.50,369.52,3.70
29,Exit long,2019-03-29 22:00,S1_LX_TP1,1298.907,7.7,9951.8342,49.75,0.50,56.78,0.57,-45.01,-0.45,419.27,4.19
29,Entry long,2019-03-29 08:30,S1_LE,1292.446,7.7,9951.8342,49.75,0.50,56.78,0.57,-45.01,-0.45,419.27,4.19
30,Exit long,2019-04-02 03:30,S1_SL,1286.982,7.7,9959.5727,-49.81,-0.50,27.56,0.28,-49.81,-0.50,369.46,3.69
30,Entry long,2019-04-01 11:30,S1_LE,1293.451,7.7,9959.5727,-49.81,-0.50,27.56,0.28,-49.81,-0.50,369.46,3.69
31,Exit long,2019-04-04 21:00,S1_SL,1281.46,7.7,9916.8377,-49.6,-0.50,51.58,0.52,-49.6,-0.50,319.86,3.20
31,Entry long,2019-04-02 14:30,S1_LE,1287.901,7.7,9916.8377,-49.6,-0.50,51.58,0.52,-49.6,-0.50,319.86,3.20
32,Exit long,2019-04-08 10:30,S1_LX_TP1,1296.419,7.7,9932.7767,49.65,0.50,52.28,0.53,-44.44,-0.45,369.51,3.70
32,Entry long,2019-04-05 01:30,S1_LE,1289.971,7.7,9932.7767,49.65,0.50,52.28,0.53,-44.44,-0.45,369.51,3.70
33,Exit long,2019-04-10 00:00,S1_LX_TP1,1305.585,7.6,9873.0916,49.35,0.50,54.03,0.55,-18.17,-0.18,418.87,4.19
33,Entry long,2019-04-09 09:00,S1_LE,1299.091,7.6,9873.0916,49.35,0.50,54.03,0.55,-18.17,-0.18,418.87,4.19
34,Exit long,2019-04-11 20:00,S1_SL,1297.708,7.6,9912.1556,-49.57,-0.50,48.4,0.49,-49.57,-0.50,369.29,3.69
34,Entry long,2019-04-10 14:30,S1_LE,1304.231,7.6,9912.1556,-49.57,-0.50,48.4,0.49,-49.57,-0.50,369.29,3.69
35,Exit long,2019-04-15 09:30,S1_SL,1286.783,7.7,9958.0327,-49.8,-0.50,19.63,0.20,-49.8,-0.50,319.49,3.19
35,Entry long,2019-04-12 09:00,S1_LE,1293.251,7.7,9958.0327,-49.8,-0.50,19.63,0.20,-49.8,-0.50,319.49,3.19
36,Exit long,2019-04-16 20:00,S1_SL,1281.349,7.7,9915.9753,-49.59,-0.50,18.18,0.18,-49.59,-0.50,269.9,2.70
36,Entry long,2019-04-15 23:30,S1_LE,1287.789,7.7,9915.9753,-49.59,-0.50,18.18,0.18,-49.59,-0.50,269.9,2.70
37,Exit long,2019-04-23 20:30,S1_SL,1270.552,7.8,9960.1164,-49.81,-0.50,22.64,0.23,-49.81,-0.50,220.09,2.20
37,Entry long,2019-04-17 06:30,S1_LE,1276.938,7.8,9960.1164,-49.81,-0.50,22.64,0.23,-49.81,-0.50,220.09,2.20
38,Exit long,2019-04-25 23:00,S1_LX_TP1,1278.902,7.8,9925.8198,49.62,0.50,80.8,0.81,-31.52,-0.32,269.71,2.70
38,Entry long,2019-04-24 01:00,S1_LE,1272.541,7.8,9925.8198,49.62,0.50,80.8,0.81,-31.52,-0.32,269.71,2.70
39,Exit long,2019-04-26 22:00,S1_LX_TP1,1285.043,7.8,9973.4778,49.86,0.50,63.56,0.64,-37.06,-0.37,319.56,3.20
