time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,Fast EMA
2026-04-14T06:30:00+08:00,4748.622,4759.65,4745.74,4757.873,4731.17599999997,4757.992372343597,4704.359627656344,4731.17599999997,4757.992372343597,4704.359627656344,4751.352099398696
2026-04-14T07:00:00+08:00,4757.91,4765.793,4754.21,4755.325,4733.415749999969,4760.442316235228,4706.389183764711,4733.415749999969,4760.442316235228,4706.389183764711,4753.338549699348
2026-04-14T07:30:00+08:00,4754.76,4761.96,4753.87,4757.551,4735.1422999999695,4763.66245283534,4706.622147164599,4735.1422999999695,4763.66245283534,4706.622147164599,4755.444774849674
2026-04-14T08:00:00+08:00,4757.65,4767.639,4750.99,4762.1,4736.57829999997,4767.39831154016,4705.7582884597805,4736.57829999997,4767.39831154016,4705.7582884597805,4758.772387424837
2026-04-14T08:30:00+08:00,4762.1,4775.893,4761.145,4769.74,4738.5521499999695,4772.408491246743,4704.695808753196,4738.5521499999695,4772.408491246743,4704.695808753196,4764.256193712418
2026-04-14T09:00:00+08:00,4769.751,4776.85,4761.77,4770.22,4741.29454999997,4776.06918853872,4706.51991146122,4741.29454999997,4776.06918853872,4706.51991146122,4767.238096856209
2026-04-14T09:30:00+08:00,4770.339,4773.785,4761.13,4764.856,4743.58434999997,4778.231948644123,4708.936751355817,4743.58434999997,4778.231948644123,4708.936751355817,4766.047048428105
2026-04-14T10:00:00+08:00,4765.15,4772.61,4762.21,4768.769,4746.842049999969,4777.912118971792,4715.771981028147,4746.842049999969,4777.912118971792,4715.771981028147,4767.408024214053
2026-04-14T10:30:00+08:00,4768.72,4777.19,4761.41,4775.111,4749.88234999997,4779.487590613937,4720.277109386003,4749.88234999997,4779.487590613937,4720.277109386003,4771.259512107026
2026-04-14T11:00:00+08:00,4775.102,4775.59,4765.29,4768.389,4751.78719999997,4781.005333307105,4722.569066692835,4751.78719999997,4781.005333307105,4722.569066692835,4769.824256053513
2026-04-14T11:30:00+08:00,4768.63,4772.06,4765.298,4767.69,4753.543699999969,4782.144415210959,4724.94298478898,4753.543699999969,4782.144415210959,4724.94298478898,4768.757128026757
2026-04-14T12:00:00+08:00,4767.927,4776.935,4766.56,4775.52,4755.18469999997,4784.8546135987,4725.51478640124,4755.18469999997,4784.8546135987,4725.51478640124,4772.1385640133785
2026-04-14T12:30:00+08:00,4775.81,4776.26,4771.07,4774.099,4757.39064999997,4785.769051642948,4729.012248356992,4757.39064999997,4785.769051642948,4729.012248356992,4773.11878200669
2026-04-14T13:00:00+08:00,4774.08,4774.33,4761.08,4764.51,4759.247549999969,4784.176539725469,4734.318560274469,4759.247549999969,4784.176539725469,4734.318560274469,4768.814391003345
2026-04-14T13:30:00+08:00,4764.602,4767.34,4757.6,4760.027,4760.317399999969,4783.382114338349,4737.252685661589,4760.317399999969,4783.382114338349,4737.252685661589,4764.4206955016725
2026-04-14T14:00:00+08:00,4760.027,4769.86,4759.36,4767.14,4761.529399999969,4783.31796766937,4739.740832330569,4761.529399999969,4783.31796766937,4739.740832330569,4765.780347750837
2026-04-14T14:30:00+08:00,4767.671,4783.02,4763.93,4781.8,4763.5608999999695,4784.950433031027,4742.171366968912,4763.5608999999695,4784.950433031027,4742.171366968912,4773.790173875419
2026-04-14T15:00:00+08:00,4781.795,4796.552,4767.5,4772.23,4765.205399999969,4783.763278701261,4746.647521298677,4765.205399999969,4783.763278701261,4746.647521298677,4773.010086937709
2026-04-14T15:30:00+08:00,4772.635,4780.71,4771.51,4776.89,4766.919899999969,4782.974244412084,4750.865555587854,4766.919899999969,4782.974244412084,4750.865555587854,4774.950043468854
2026-04-14T16:00:00+08:00,4777.25,4786.63,4773.84,4785.69,4768.776499999969,4784.492274773551,4753.060725226387,4768.776499999969,4784.492274773551,4753.060725226387,4780.320021734427
2026-04-14T16:30:00+08:00,4785.951,4789.931,4781.168,4786.53,4770.209349999969,4786.883684476451,4753.535015523487,4770.209349999969,4786.883684476451,4753.535015523487,4783.425010867213
2026-04-14T17:00:00+08:00,4786.685,4789.26,4778.18,4778.5,4771.368099999969,4786.927689470937,4755.808510529,4771.368099999969,4786.927689470937,4755.808510529,4780.962505433607
2026-04-14T17:30:00+08:00,4778.33,4782.37,4771.31,4777.86,4772.383549999968,4786.813476278007,4757.953623721928,4772.383549999968,4786.813476278007,4757.953623721928,4779.411252716804
2026-04-14T18:00:00+08:00,4777.85,4788.18,4777.85,4783.849,4773.470999999969,4787.9151549059825,4759.026845093955,4773.470999999969,4787.9151549059825,4759.026845093955,4781.630126358402
2026-04-14T18:30:00+08:00,4783.849,4784.61,4751.285,4768.282,4773.398099999968,4787.9312835926385,4758.864916407297,4773.398099999968,4787.9312835926385,4758.864916407297,4774.956063179201
2026-04-14T19:00:00+08:00,4768.336,4783.06,4766.57,4777.85,4773.779599999968,4788.359554565046,4759.19964543489,4773.779599999968,4788.359554565046,4759.19964543489,4776.403031589601
2026-04-14T19:30:00+08:00,4777.84,4782.93,4770.298,4774.72,4774.272799999968,4788.267543056252,4760.278056943684,4774.272799999968,4788.267543056252,4760.278056943684,4775.5615157948005
2026-04-14T20:00:00+08:00,4774.979,4777.69,4762.2,4769.111,4774.289899999968,4788.25851254858,4760.321287451356,4774.289899999968,4788.25851254858,4760.321287451356,4772.3362578974
2026-04-14T20:30:00+08:00,4768.68,4776.289,4761.905,4771.21,4774.094849999968,4788.120978271658,4760.0687217282775,4774.094849999968,4788.120978271658,4760.0687217282775,4771.7731289487
2026-04-14T21:00:00+08:00,4770.99,4792.56,4770.74,4783.047,4774.827749999969,4789.114126647485,4760.541373352452,4774.827749999969,4789.114126647485,4760.541373352452,4777.41006447435
2026-04-14T21:30:00+08:00,4783.06,4803.612,4779.775,4794.21,4776.153749999969,4792.340543434311,4759.966956565626,4776.153749999969,4792.340543434311,4759.966956565626,4785.810032237176
